File Name,Global Frequency,Local Frequency,Global Avg Reaction Time,Local Avg Reaction Time,Classification
Navon.2023-05-23-1229.data.12b67d7c-1991-4368-a414-212d0daf058d.txt,12,13,868.8333333333334,929.1538461538462,Local-Focused & Slow
Navon.2023-06-03-0154.data.64b58ac3-46ca-45d6-ab81-fae1e500fa53.txt,12,12,826.4166666666666,700.9166666666666,Local-Focused & Fast
Navon.2023-06-24-1600.data.7dab8b17-240a-4f9b-9a78-8e98f96b35bf.txt,4,9,1193.5,836.7777777777778,Local-Focused & Fast
Navon.2023-06-30-1037.data.09ce2283-fce1-496b-9c63-77f6c8024482.txt,12,10,1110.5,934.5,Global-Focused & Slow
Navon.2023-07-13-0951.data.ec0398bf-0a12-4d62-b07a-ec591d2d1476.txt,11,13,773.6363636363636,827.4615384615385,Local-Focused & Slow
Navon.2023-07-17-1518.data.85ece031-da05-4ca8-aa9f-2397701317b8.txt,10,9,777.6,991.3333333333334,Global-Focused & Fast
Navon.2023-07-18-1719.data.95e3f053-5875-492a-b9e1-45b0a3867f74.txt,11,11,939.7272727272727,1046.090909090909,Local-Focused & Slow
Navon.2023-07-19-1510.data.8d672fa0-46b3-4233-97a2-d8f30820dd11.txt,10,6,1208.2,1528.0,Global-Focused & Fast
Navon.2023-07-19-1517.data.d3bb417d-d9b6-45fc-9e52-6578d0e90150.txt,13,9,702.6923076923077,921.8888888888889,Global-Focused & Fast
Navon.2023-07-19-1616.data.ebc7634f-2cc0-4d34-a599-03054f2ffbfb.txt,9,8,1064.888888888889,974.125,Global-Focused & Slow
Navon.2023-07-23-1809.data.1ce40d24-dbaa-4c94-af14-98c3144cfca1.txt,10,9,1013.2,969.4444444444445,Global-Focused & Slow
Navon.2023-07-24-1710.data.82a673d5-68c0-4e90-b85f-9f6b509ac46a.txt,0,0,,,Insufficient Data
Navon.2023-07-24-2248.data.cc8256e7-4fbb-47f7-a4ad-aaaae077a76b.txt,13,7,1105.7692307692307,959.2857142857143,Global-Focused & Slow
Navon.2023-07-25-0907.data.88d1ad0a-0626-40b0-aaa1-22af15850f46.txt,11,10,956.9090909090909,863.2,Global-Focused & Slow
Navon.2023-07-25-1942.data.1955e45c-2d6b-42b7-9bbe-be736a37f316.txt,12,12,750.4166666666666,774.0833333333334,Local-Focused & Slow
Navon.2023-07-26-1345.data.cb54c30c-b570-4a21-9ed3-cfee3be7aeb5.txt,10,8,1056.2,1484.25,Global-Focused & Fast
Navon.2023-07-27-2022.data.0b8244c8-d152-47e5-b75b-2c0526841917.txt,12,13,1242.0,1054.4615384615386,Local-Focused & Fast
Navon.2023-07-28-1138.data.37dff421-d8a1-49ca-bdc3-f80dbfe690d9.txt,10,10,707.0,726.2,Local-Focused & Slow
Navon.2023-07-30-1707.data.15e385bc-c05e-4bdd-a6c6-4f490e62d46c.txt,12,12,745.25,830.9166666666666,Local-Focused & Slow
Navon.2023-08-01-0831.data.9393ee6a-ec32-46f5-a827-3c73fbb7d8ba.txt,13,12,1259.2307692307693,1244.1666666666667,Global-Focused & Slow
Navon.2023-09-16-2220.data.cf124a04-7b02-40e2-beb8-7e0de06d7357.txt,12,12,676.25,730.4166666666666,Local-Focused & Slow
